idx,text,y_true,y_pred,ce_loss,margin,entropy,p_max,has_negation,has_comparative,has_number
145,Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .,Neutral,Bearish,6.70154333114624,0.9964488744735718,0.018009331077337265,0.9976778626441956,False,False,False
77,A & euro ; 4.8 million investment in 13.6 % of Lewa netted Deutsche Beteiligungs & euro ; 21 million .,Neutral,Bearish,6.5222954750061035,0.9957694411277771,0.020928358659148216,0.9972397089004517,False,False,True
459,"It currently employs about 750 people and expects headcount to reach 1,000 by end of 2007 .",Neutral,Bearish,6.493987083435059,0.9957149624824524,0.021003708243370056,0.9972274899482727,False,False,True
159,The insurance division turned a EUR120m profit .,Bearish,Neutral,6.29643440246582,0.9946974515914917,0.02544895000755787,0.9965403079986572,False,False,False
302,Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .,Neutral,Bearish,6.033352375030518,0.9945282340049744,0.02247418463230133,0.9969256520271301,False,False,True
33,The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,Bullish,Neutral,5.995797634124756,0.9875129461288452,0.04887168109416962,0.9925118684768677,False,False,False
18,CDLI highlights the companies that provided the most comprehensive response to the Carbon Disclosure Project CDP information request .,Neutral,Bearish,5.931031703948975,0.9930793046951294,0.030357610434293747,0.9957350492477417,False,False,False
226,"In the fourth quarter of 2009 , Atria 's net loss shrank to EUR 1.2 million from EUR 5.9 million and net sales contracted to EUR 340.4 million from EUR 361.1 million .",Neutral,Bullish,5.8891801834106445,0.9881349802017212,0.048126183450222015,0.9926828742027283,False,False,True
330,Nokia Corp of Finland Tuesday said it has received a unified device managment contract with Finnish operator Elisa Oyj .,Bearish,Neutral,5.790350914001465,0.992733895778656,0.02969777025282383,0.9957907795906067,False,False,False
382,"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",Neutral,Bearish,5.767350196838379,0.9932002425193787,0.02579164132475853,0.9963282942771912,False,False,False
322,"wins 98 % acceptance 23 December 2009 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will complete its takeover offer for textile company Tamfelt Oyj Abp ( HEL : TAFKS ) , after acquiring 98 % of its shares and votes .",Bearish,Neutral,5.753740310668945,0.9921233654022217,0.03288392350077629,0.9952942728996277,False,False,True
479,"That 's what I go to bed worrying about every night , ' he said .",Bullish,Bearish,5.655605316162109,0.9903302788734436,0.041776809841394424,0.9938281178474426,False,False,False
108,The company said that it has started to investigate streamlining its operations in order to meet the tightening competition on the mobile phone charger market .,Neutral,Bearish,5.640161037445068,0.9910668134689331,0.03692957013845444,0.9946191310882568,False,False,False
272,The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,Neutral,Bearish,5.627417087554932,0.9601790904998779,0.11436773836612701,0.9782906174659729,False,False,True
201,"Mr. Jorma Valkama , Managing Director of Suomen Paikallissanomat Oy , states that Rannikkoseutu complements in an outstanding way the current product range of the company .",Bearish,Neutral,5.586126804351807,0.9911912083625793,0.034685999155044556,0.9949407577514648,False,False,False
49,"`` We can say that the number of deals has become normalized by the moment , and therefore we have decided to devalue our apartments now on sale , '' he added .",Bullish,Bearish,5.520683288574219,0.749832272529602,0.39858970046043396,0.8729146122932434,False,False,False
