idx,text,y_true,y_pred,ce_loss,margin,entropy,p_max,has_negation,has_comparative,has_number
145,Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .,Neutral,Bearish,5.7215986251831055,0.9929074645042419,0.026631642132997513,0.9961819648742676,False,False,False
421,Unit costs for flight operations fell by 6.4 percent .,Neutral,Bullish,4.979548931121826,0.9699985384941101,0.10408084094524384,0.9815607070922852,False,False,True
77,A & euro ; 4.8 million investment in 13.6 % of Lewa netted Deutsche Beteiligungs & euro ; 21 million .,Neutral,Bearish,4.9347758293151855,0.9848222732543945,0.04911067336797714,0.9920143485069275,False,False,True
330,Nokia Corp of Finland Tuesday said it has received a unified device managment contract with Finnish operator Elisa Oyj .,Bearish,Neutral,4.679071426391602,0.9806373715400696,0.059108588844537735,0.9899250268936157,False,False,False
471,"Olvi 's target is to strengthen its market share in soft drinks , mineral waters , ciders , long drinks , and energy drinks .",Bearish,Neutral,4.164262771606445,0.9682777523994446,0.08547286689281464,0.9838189482688904,False,False,False
458,The 2015 target for net sales has been set at EUR 1bn and the target for return on investment at over 20 % .,Neutral,Bearish,4.153751373291016,0.9677662253379822,0.08747244626283646,0.9834716320037842,False,False,True
37,"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .",Bearish,Neutral,3.855804204940796,0.947751522064209,0.15799720585346222,0.9689081311225891,False,False,False
272,The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,Neutral,Bearish,3.645634889602661,0.8665585517883301,0.32864803075790405,0.9202268719673157,False,False,True
108,The company said that it has started to investigate streamlining its operations in order to meet the tightening competition on the mobile phone charger market .,Neutral,Bearish,3.629625082015991,0.9455639719963074,0.132905513048172,0.9720901250839233,False,False,False
340,"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  .",Bearish,Neutral,3.3971400260925293,0.9322956204414368,0.1528405100107193,0.9657644629478455,False,False,False
482,"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",Bearish,Neutral,3.3090081214904785,0.9262664914131165,0.1620679795742035,0.9628189206123352,False,False,False
110,"Furthermore , Novator Finland Oy has entered into a securities lending agreement , whereby Novator Finland Oy will hold directly the same amount of shares that are underlying of the OMX market forwards from May 23 through May 26 , 2008 .",Neutral,Bearish,3.073777914047241,0.906751275062561,0.19346733391284943,0.9529973864555359,False,False,True
433,"Biohit , Inc. , has expanded its mLINE Family of Pipettors with the addition of the NEW 1-10 ml volume range .",Bearish,Neutral,2.870351791381836,0.8859593868255615,0.22334879636764526,0.9426383972167969,False,False,True
159,The insurance division turned a EUR120m profit .,Bearish,Neutral,2.81921648979187,0.8790702223777771,0.23796683549880981,0.9387229084968567,False,False,False
211,Earnings per share were at loss of EUR0 .24 .,Bullish,Bearish,2.7950806617736816,0.8738071322441101,0.2556883990764618,0.9349170923233032,False,False,True
